MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,Total Fuel Consumption(MPG),CO2EMISSIONS
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,22,297
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18,356
2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4,8,AS8,Z,20,320
2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,17,380
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,20,322
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,17,380
2014,BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,17,380
2014,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,15,437
2014,BMW,320i,COMPACT,2,4,A8,Z,34,193
2014,BMW,320i,COMPACT,2,4,M6,Z,32,200
2014,BMW,320i xDRIVE,COMPACT,2,4,A8,Z,32,202
2014,BMW,328d xDRIVE,COMPACT,2,4,A8,D,42,181
2014,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,42,181
2014,BMW,328i,COMPACT,2,4,A8,Z,34,193
2014,BMW,328i,COMPACT,2,4,M6,Z,32,200
2014,BMW,328i xDRIVE,COMPACT,2,4,A8,Z,31,209
2014,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,31,209
2014,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,31,209
2014,BMW,335i,COMPACT,3,6,A8,Z,29,221
2014,BMW,335i,COMPACT,3,6,M6,Z,28,230
2014,BMW,335i xDRIVE,COMPACT,3,6,A8,Z,29,228
2014,BMW,335i xDRIVE,COMPACT,3,6,M6,Z,27,237
2014,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,28,232
2014,BMW,428i COUPE,COMPACT,2,4,A8,Z,34,193
2014,BMW,428i COUPE,COMPACT,2,4,M6,Z,32,200
2014,BMW,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,31,209
2014,BMW,435i COUPE,COMPACT,3,6,A8,Z,29,221
2014,BMW,435i COUPE,COMPACT,3,6,M6,Z,28,230
2014,BMW,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,29,228
2014,BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,27,237
2014,BMW,528i,MID-SIZE,2,4,A8,Z,32,202
2014,BMW,528i xDRIVE,MID-SIZE,2,4,A8,Z,31,209
2014,BMW,535d xDRIVE,MID-SIZE,3,6,A8,D,36,213
2014,BMW,535i xDRIVE,MID-SIZE,3,6,A8,Z,28,232
2014,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,26,246
2014,BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,23,281
2014,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,22,292
2014,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,A8,Z,28,232
2014,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,22,292
2014,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,23,281
2014,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,22,292
2014,BMW,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,26,246
2014,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,22,292
2014,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,22,292
2014,BMW,760Li,FULL-SIZE,6,12,A8,Z,18,356
2014,BMW,ACTIVEHYBRID 3,COMPACT,3,6,A8,Z,34,191
2014,BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,A8,Z,30,214
2014,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A8,Z,31,212
2014,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,22,292
2014,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,22,292
2014,BMW,M5,MID-SIZE,4.4,8,AM7,Z,19,338
2014,BMW,M5,MID-SIZE,4.4,8,M6,Z,20,317
2014,BMW,M6,COMPACT,4.4,8,AM7,Z,19,338
2014,BMW,M6,COMPACT,4.4,8,M6,Z,20,317
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,19,338
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,20,317
2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,19,338
2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,20,317
2014,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,A8,Z,31,209
2014,BMW,X1 xDRIVE35i,SUV - SMALL,3,6,A6,Z,25,260
2014,BMW,X3 xDRIVE28i,SUV - SMALL,2,4,A8,Z,28,230
2014,BMW,X3 xDRIVE35i,SUV - SMALL,3,6,A8,Z,26,253
2014,BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,25,255
2014,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,20,320
2014,BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18,370
2014,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,24,274
2014,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,20,324
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,A8,Z,31,209
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,32,200
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,23,278
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,26,253
2014,BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,23,278
2014,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,23,283
2014,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,22,290
2014,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,33,196
2014,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,31,212
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,25,264
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18,250
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,25,264
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,17,264
2014,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,34,189
2014,BUICK,REGAL,MID-SIZE,2,4,AS6,Z,29,228
2014,BUICK,REGAL,MID-SIZE,2,4,M6,Z,29,225
2014,BUICK,REGAL AWD,MID-SIZE,2,4,AS6,Z,26,246
2014,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,34,189
2014,BUICK,VERANO,COMPACT,2,4,AS6,Z,29,228
2014,BUICK,VERANO,COMPACT,2,4,M6,Z,29,225
2014,BUICK,VERANO,COMPACT,2.4,4,AS6,X,30,218
2014,CADILLAC,ATS,COMPACT,2,4,AS6,Z,29,221
2014,CADILLAC,ATS,COMPACT,2,4,M6,Z,28,235
2014,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,31,207
2014,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,26,251
2014,CADILLAC,ATS AWD,COMPACT,2,4,AS6,Z,28,232
2014,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,25,260
2014,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,25,258
2014,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,25,262
2014,CADILLAC,CTS SEDAN,MID-SIZE,2,4,AS6,Z,28,232
2014,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,26,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,2,4,AS6,Z,26,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,25,260
2014,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,22,294
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,AS6,X,26,253
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,25,260
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,AS6,X,25,255
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,25,262
2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,17,382
2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,19,340
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,17,382
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,19,340
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,17,382
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,19,340
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,19,338
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,14,322
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,17,377
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,13,354
2014,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,23,283
2014,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,22,294
2014,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,25,262
2014,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,24,271
2014,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,22,290
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,25,258
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,24,269
2014,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,27,242
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,22,294
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,22,292
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,17,382
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,19,340
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,24,276
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,25,258
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,36,179
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,36,179
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,32,202
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,34,189
2014,CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,AS6,D,40,192
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,37,177
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,40,163
2014,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,31,209
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,24,276
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,17,259
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,28,230
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,22,290
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,17,272
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,19,347
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18,366
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,14,334
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,17,380
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,13,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,17,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,13,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,17,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,12,362
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,17,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,13,344
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,17,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,12,362
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,16,414
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,15,432
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,11,411
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,16,419
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,15,435
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,11,413
2014,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,29,221
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,27,244
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,20,229
2014,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,32,200
2014,CHEVROLET,MALIBU,MID-SIZE,2,4,AS6,Z,29,228
2014,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,35,184
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,27,244
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,28,235
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,24,271
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,17,269
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,22,292
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,17,270
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,20,324
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,22,290
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,16,285
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,22,299
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,16,277
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,20,329
2014,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,35,184
2014,CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,38,173
2014,CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,34,191
2014,CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,36,182
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,35,184
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,38,172
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,34,191
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,36,182
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,34,191
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,36,182
2014,CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,34,191
2014,CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,36,182
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,41,159
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,41,159
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,20,317
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,15,294
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,20,317
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,15,294
2014,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,20,317
2014,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,15,294
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,20,317
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,15,294
2014,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,23,283
2014,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,22,290
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,34,193
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,35,186
2014,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,31,207
2014,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,27,237
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,28,232
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,26,246
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,27,242
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,20,230
2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,29,225
2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,28,230
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,27,242
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,20,230
2014,CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,22,294
2014,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,26,251
2014,CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,21,308
2014,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,26,251
2014,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,19,237
2014,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,27,237
2014,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,20,222
2014,CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,20,317
2014,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,24,276
2014,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,E,17,269
2014,DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,29,225
2014,DODGE,AVENGER,MID-SIZE,2.4,4,A6,X,28,230
2014,DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,X,27,242
2014,DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,E,20,230
2014,DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,25,258
2014,DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,22,301
2014,DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A5,X,22,294
2014,DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,20,320
2014,DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A5,Z,20,317
2014,DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,25,258
2014,DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,27,237
2014,DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,22,294
2014,DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,26,251
2014,DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,21,308
2014,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,26,251
2014,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,19,237
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,25,258
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18,251
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,28,235
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,20,222
2014,DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A5,Z,20,317
2014,DODGE,DART,MID-SIZE,2,4,M6,X,35,186
2014,DODGE,DART,MID-SIZE,2.4,4,A6,X,33,198
2014,DODGE,DART,MID-SIZE,2.4,4,M6,X,32,202
2014,DODGE,DART FFV,MID-SIZE,2,4,A6,X,33,198
2014,DODGE,DART FFV,MID-SIZE,2,4,A6,E,23,195
2014,DODGE,DART GT,MID-SIZE,2.4,4,A6,X,31,212
2014,DODGE,DART GT,MID-SIZE,2.4,4,M6,X,32,202
2014,DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,39,168
2014,DODGE,DART TURBO AERO,MID-SIZE,1.4,4,M6,X,39,168
2014,DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,20,331
2014,DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,X,23,278
